Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
01-07-2025,07:38,30-06-2025,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Dividendo,,EUR,"3,00",EUR,"88,35",
01-07-2025,07:37,30-06-2025,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Retención del dividendo,,EUR,"-0,57",EUR,"85,35",
30-06-2025,03:40,30-06-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,38 EUR",,,,EUR,"85,92",
30-06-2025,03:40,30-06-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,38",EUR,"85,54",
29-06-2025,06:33,27-06-2025,,,Ingreso Cambio de Divisa,,EUR,"0,38",EUR,"85,92",
29-06-2025,06:33,27-06-2025,,,Retirada Cambio de Divisa,"1,1747",USD,"-0,45",USD,"0,00",
27-06-2025,07:42,27-06-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,77 EUR",,,,EUR,"85,54",
27-06-2025,07:42,27-06-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,77",EUR,"83,77",
27-06-2025,07:34,26-06-2025,META PLATFORMS INC CLASS A,US30303M1027,Retención del dividendo,,USD,"-0,08",USD,"0,45",
27-06-2025,07:33,26-06-2025,META PLATFORMS INC CLASS A,US30303M1027,Dividendo,,USD,"0,53",USD,"0,53",
27-06-2025,06:39,26-06-2025,,,Ingreso Cambio de Divisa,,EUR,"1,77",EUR,"85,54",
27-06-2025,06:39,26-06-2025,,,Retirada Cambio de Divisa,"1,1729",USD,"-2,08",USD,"0,00",
26-06-2025,07:27,25-06-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividendo,,USD,"2,08",USD,"2,08",
19-06-2025,08:30,19-06-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,05 EUR",,,,EUR,"83,77",
19-06-2025,08:30,19-06-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,05",EUR,"83,72",
19-06-2025,07:26,18-06-2025,CELLNEX TELECOM SA,ES0105066007,Dividendo,,EUR,"0,05",EUR,"83,77",
